url,Product_Name,Data sheets
https://www.kongsberg.com/maritime/products/onshore/onshore-systems/ais-network-infrastructure-shorebased/ais-service-management-system/,AIS service management system,
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/apos-survey---surveyors-independent-operator-station-for-hipap/,APOS Survey - Surveyor's independent Operator Station for HiPAP,
https://www.kongsberg.com/maritime/products/marine-robotics/underwater-vehicle-instruments/single-beam-scanning-sonars/domed-scanning-sonar/,Domed Scanning Sonar,
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/ekmp/,EK Mission Planner,
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/ek80software/,EK80 software,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysounder/td_fishfinding/,Fish-finding transducers,
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/scientific-multibeam-systems/me70/,ME70 multibeam echo sounder,
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/scientific-multibeam-systems/ms70/,MS70 Multibeam sonar,
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/sonars/sonars-for-marine-site-inspection/flexview/,"Multibeam Sonar, Flexview",
https://www.kongsberg.com/maritime/products/ocean-science/mapping-systems/sonars/sonars-for-marine-site-inspection/m3/,"Multibeam sonar, M3 Sonar®",
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherycatch/hydrophones/portable-hydrophone/,PI Portable hydrophone,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherycatch/hydrophones/purse-seine-hydrophone/,PI Purse seine hydrophone,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherycatch/hydrophones/Trawl-hydrophone/,PI Trawl hydrophone,
https://www.kongsberg.com/maritime/products/commercial-fisheries/cm-sensors/pxcharger/,PX MultiSensor Charger,
https://www.kongsberg.com/maritime/products/Acoustics-Positioning-and-Communication/acoustic-positioning-systems/hipap-models/remote-services-for-hipap-systems/,Remote Services for HiPAP systems,
https://www.kongsberg.com/maritime/products/bridge-systems-and-control-centres/broadband-radios/br90/,Simrad BR90,
https://www.kongsberg.com/maritime/products/commercial-fisheries/td/200-khz/cp200-5c/,Simrad CP200-5C,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisheryadcp/cp60/,Simrad CP60,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysonar/cs90/,Simrad CS90,
https://www.kongsberg.com/maritime/products/ocean-science/ocean-science/es_scientific/simrad-ek15/,Simrad EK15,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysounder/es70/,Simrad ES70,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysounder/es80/,Simrad ES80,
https://www.kongsberg.com/maritime/products/commercial-fisheries/simrad-trawl-sonars/fm90/,Simrad FM90,
https://www.kongsberg.com/maritime/products/commercial-fisheries/simrad-trawl-sonars/Simrad-FS70/,Simrad FS70,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherycatch/iti/,Simrad ITI,
https://www.kongsberg.com/maritime/products/commercial-fisheries/cm-sensors/pi-configurator/,Simrad PI Configurator,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherycatch/simrad-pi50/,Simrad PI50,
https://www.kongsberg.com/maritime/products/commercial-fisheries/cm-sensors/pxc/,Simrad PX Configurator,
https://www.kongsberg.com/maritime/products/commercial-fisheries/cm-sensors/pxmulticatch/,Simrad PX MultiCatch,
https://www.kongsberg.com/maritime/products/commercial-fisheries/cm-sensors/pxmultisensor/,Simrad PX MultiSensor,
https://www.kongsberg.com/maritime/products/commercial-fisheries/cm-sensors/pxtrawleye/,Simrad PX TrawlEye,
https://www.kongsberg.com/maritime/products/commercial-fisheries/cm-sensors/simrad-px-universal/,Simrad PX Universal,
https://www.kongsberg.com/maritime/products/commercial-fisheries/cm-sensors/pxpos/,Simrad PxPos,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysonar/sh90/,Simrad SH90,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysonar/sn90/,Simrad SN90,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysonar/simrad-st90/,Simrad ST90,
https://www.kongsberg.com/maritime/products/commercial-fisheries/fisherysonar/simrad-su90-fish-finding-omni-sonar/,Simrad SU90,
